model,model_size_mb,latency_ms,accuracy
teacher,2.4917,None,0.48842592592592593
student,2.9758,None,0.06944444444444445
quantized,2.953083,None,None
teacher,2.4917,None,0.48842592592592593
student,2.9758,None,0.5208333333333334
quantized,2.947545,None,None
teacher,2.4917,13.097,0.48842592592592593
student,2.9758,13.969,0.5208333333333334
quantized,2.947545,None,None
teacher,2.4917,17.6285,0.48842592592592593
student,2.9758,12.5746,0.5208333333333334
quantized,2.947545,None,None
teacher,2.4917,18.2806,0.48842592592592593
student,2.9758,20.422,0.5208333333333334
quantized,0.147719,None,None
teacher,2.4917,18.185,0.48842592592592593
student,2.9758,16.986,0.5208333333333334
quantized,0.147719,259.5011,0.14583333333333334
teacher,2.4917,18.898,0.48842592592592593
student,2.9758,16.6246,0.5208333333333334
quantized,0.147719,151.521,0.14583333333333334
teacher,2.4917,15.9016,0.48842592592592593
student,2.9758,13.4506,0.5208333333333334
quantized,0.147719,206.1938,0.14583333333333334
teacher,2.4917,14.4911,0.48842592592592593
student,2.9758,13.9565,0.5208333333333334
quantized,0.147814,10.428,0.12731481481481483
teacher,2.4917,14.9019,0.48842592592592593
student,2.9758,12.9882,0.5208333333333334
quantized,0.147814,None,None
teacher,2.4917,15.4497,0.48842592592592593
student,2.9758,13.1286,0.5208333333333334
quantized,0.147814,None,None
teacher,2.4917,15.6063,0.48842592592592593
student,2.9758,16.2268,0.5208333333333334
quantized,0.147814,None,None
teacher,2.4917,15.106,0.48842592592592593
student,2.9758,12.2451,0.5208333333333334
quantized,0.14959,187.3925,0.06712962962962964
models_quantized,2.809,0,0.3403
models_quantized,2.809,0,0.4977
teacher,2.4917,23.696,0.5763888888888888
student,2.9758,39.5884,0.4976851851851852
quantized,2.947545,None,None
models_quantized,results/models/models_quantized_fallback.pt,2.814,0,0.4838
models_quantized,results/models/models_quantized.onnx,2.811,0,0.3426
teacher,2.4917,24.2899,0.5763888888888888
student,2.9758,30.4267,0.3425925925925926
quantized,2.947545,None,None
teacher,2.4917,67.3291,0.5763888888888888
student,2.9758,26.2536,0.3425925925925926
quantized,10.288304,379.7626,0.1412037037037037
models_quantized,results/models/models_quantized.onnx,2.811,0,0.4954
teacher,2.4917,34.1206,0.5763888888888888
student,2.9758,36.6167,0.49537037037037035
quantized,2.947545,None,None
teacher,2.4917,18.3072,0.5763888888888888
student,2.9758,75.5528,0.49537037037037035
quantized,None,None,None
teacher,2.4917,52.7255,0.5763888888888888
student,2.9758,36.4807,0.49537037037037035
quantized,None,None,None
teacher,2.4917,77.833,0.5763888888888888
student,2.9758,37.4402,0.49537037037037035
quantized,10.288304,187.1799,0.14814814814814814
